     Experiment       Duration  Iterations
    Experiment14       24:38      4  
    Experiment20       15:08      4  
    Experiment14       14:16      0  
    Experiment12       16:08      0  
    Experiment16       11:45      2  
    Experiment00       14:08      1  
    Experiment12       03:57      3  
    Experiment14       03:28      4  
    Experiment02       14:02      1  
    Experiment15       01:52      0  
    Experiment03       01:29      2  
    Experiment11       22:01      3  
    Experiment13       25:03      4  
    Experiment01       13:32      0  
    Experiment05       17:32      0  
    Experiment13       13:22      0  
    Experiment09       09:29      3  
    Experiment14       05:29      1  
    Experiment01       14:25      3  
    Experiment11       18:37      4  
    Experiment17       07:19      1  
    Experiment18       13:03      3  
    Experiment15       26:33      2  
    Experiment02       19:34      1  
    Experiment20       02:58      4  
    Experiment00       21:48      3  
    Experiment17       14:50      3  
    Experiment19       05:11      3  
    Experiment11       07:15      3  
    Experiment08       12:27      2  
    Experiment04       18:08      2  
    Experiment03       10:01      1  
    Experiment03       26:45      1  
    Experiment06       27:06      0  
    Experiment00       04:36      3  
    Experiment09       10:36      2  
    Experiment14       13:46      1  
    Experiment00       16:51      0  
    Experiment02       16:06      1  
    Experiment04       13:41      4  
    Experiment02       23:07      2  
    Experiment10       07:53      4  
    Experiment01       05:55      4  
    Experiment02       28:25      2  
    Experiment19       14:55      2  
    Experiment08       02:20      1  
    Experiment18       28:17      0  
    Experiment16       00:33      3  
    Experiment07       04:29      0  
    Experiment18       13:11      3  
    Experiment12       05:27      1  
    Experiment10       08:35      2  
    Experiment16       28:02      4  
    Experiment08       23:16      1  
    Experiment07       02:07      3  
    Experiment13       27:17      3  
    Experiment19       02:12      2  
    Experiment17       14:49      2  
    Experiment09       13:37      4  
    Experiment12       02:34      4  
    Experiment03       27:18      3  
    Experiment19       10:34      2  
    Experiment20       06:16      3  
    Experiment17       11:07      2  
    Experiment20       01:41      4  
    Experiment10       13:25      1  
    Experiment12       18:36      4  
    Experiment11       20:08      1  
    Experiment11       18:23      4  
    Experiment16       08:20      3  
    Experiment20       29:13      4  
    Experiment10       11:53      3  
    Experiment16       05:55      0  
    Experiment02       23:52      4  
    Experiment11       18:18      2  
    Experiment02       18:53      0  
    Experiment09       20:58      2  
    Experiment05       14:05      0  
    Experiment04       25:21      3  
    Experiment08       15:07      3  
    Experiment15       13:41      3  
    Experiment18       29:09      2  
    Experiment04       04:23      2  
    Experiment11       26:57      1  
    Experiment11       22:12      1  
    Experiment00       18:04      2  
    Experiment09       02:32      4  
    Experiment15       18:49      3  
    Experiment05       18:20      0  
    Experiment01       15:46      3  
    Experiment04       21:21      3  
    Experiment03       23:18      4  
    Experiment07       13:38      2  
    Experiment20       05:07      0  
    Experiment05       08:02      4  
    Experiment17       29:26      1  
    Experiment19       06:49      4  
    Experiment17       22:47      1  
    Experiment11       19:25      3  
    Experiment15       06:10      2  
    Experiment12       14:22      2  
    Experiment12       02:15      4  
    Experiment14       07:49      3  
    Experiment06       15:44      0  
    Experiment04       29:54      1  
    Experiment05       00:19      2  
    Experiment16       12:35      1  
    Experiment18       08:58      2  
    Experiment10       00:44      3  
    Experiment15       13:36      2  
    Experiment07       27:36      2  
    Experiment19       15:27      3  
    Experiment10       23:53      2  
    Experiment00       15:16      0  
    Experiment19       23:47      3  
    Experiment11       09:33      4  
    Experiment04       28:10      0  
    Experiment13       16:41      2  
    Experiment20       12:09      3  
    Experiment09       07:20      4  
    Experiment10       15:39      2  
    Experiment17       16:14      3  
    Experiment05       06:21      4  
    Experiment14       07:57      1  
    Experiment14       20:07      2  
    Experiment20       00:38      3  
    Experiment19       22:20      4  
    Experiment10       27:42      3  
    Experiment19       09:05      0  
    Experiment12       13:58      3  
    Experiment02       12:51      2  
    Experiment17       04:35      4  
    Experiment03       30:01      4  
    Experiment16       06:49      1  
    Experiment10       14:01      0  
    Experiment20       27:16      1  
    Experiment11       24:28      0  
    Experiment07       09:32      3  
    Experiment08       16:51      4  
    Experiment05       24:04      2  
    Experiment15       28:25      3  
    Experiment00       21:05      1  
    Experiment08       26:25      2  
    Experiment16       01:37      2  
    Experiment14       06:49      4  
    Experiment07       11:45      4  
    Experiment09       03:52      1  
    Experiment04       26:59      2  
    Experiment15       16:46      0  
    Experiment15       18:16      2  
    Experiment11       17:19      3  
    Experiment03       01:14      1  
    Experiment08       09:34      3  
    Experiment06       24:46      2  
    Experiment08       30:24      0  
    Experiment19       05:22      0  
    Experiment18       01:55      1  
    Experiment10       23:55      3  
    Experiment01       27:41      4  
    Experiment19       12:54      4  
    Experiment01       05:38      3  
    Experiment01       22:49      1  
    Experiment18       21:14      4  
    Experiment12       02:38      0  
    Experiment18       20:33      4  
    Experiment08       21:55      4  
    Experiment07       27:33      1  
    Experiment01       27:32      2  
    Experiment02       10:02      0  
    Experiment06       25:25      1  
    Experiment20       18:45      4  
    Experiment15       14:08      0  
    Experiment01       00:50      3  
    Experiment05       00:56      2  
    Experiment18       16:50      1  
    Experiment12       29:50      0  
    Experiment12       15:14      4  
    Experiment11       22:36      1  
    Experiment09       25:53      2  
    Experiment03       26:36      1  
    Experiment16       10:41      1  
    Experiment02       25:34      1  
    Experiment12       01:27      0  
    Experiment10       14:47      1  
    Experiment17       12:47      1  
    Experiment07       08:23      0  
    Experiment03       07:40      0  
    Experiment10       28:35      3  
    Experiment00       12:22      3  
    Experiment17       18:31      4  
    Experiment15       21:34      4  
    Experiment16       07:54      1  
    Experiment06       16:16      2  
    Experiment10       28:34      4  
    Experiment03       00:15      4  
    Experiment01       04:14      3  
    Experiment02       24:31      0  
    Experiment19       18:19      4  
    Experiment19       24:50      4  
    Experiment16       16:25      0  
    Experiment04       06:03      4  
    Experiment13       16:27      2  
    Experiment08       24:44      3  
    Experiment15       00:18      1  
    Experiment08       24:43      1  
    Experiment09       15:34      3  
    Experiment13       12:41      3  
    Experiment08       18:26      1  
    Experiment01       07:42      2  
    Experiment12       16:52      3  
    Experiment05       21:24      0  
    Experiment12       25:05      1  
    Experiment19       15:25      1  
    Experiment09       01:32      2  
    Experiment02       04:30      0  
    Experiment02       05:15      2  
    Experiment16       25:34      2  
    Experiment13       15:45      3  
    Experiment01       28:30      4  
    Experiment20       17:01      4  
    Experiment02       13:31      4  
    Experiment15       19:13      4  
    Experiment10       16:36      4  
    Experiment13       11:07      2  
    Experiment06       07:57      2  
    Experiment10       19:41      0  
    Experiment13       20:51      1  
    Experiment15       28:21      0  
    Experiment06       06:55      0  
    Experiment13       20:08      2  
    Experiment14       28:25      2  
    Experiment17       27:15      3  
    Experiment19       25:51      1  
    Experiment06       00:08      0  
    Experiment16       05:49      3  
    Experiment11       01:37      1  
    Experiment13       11:39      2  
    Experiment12       20:01      4  
    Experiment06       22:40      0  
    Experiment00       08:25      0  
    Experiment09       25:56      3  
    Experiment11       08:01      4  
    Experiment09       11:57      0  
    Experiment03       27:04      2  
    Experiment06       07:14      1  
    Experiment11       18:53      2  
    Experiment05       03:48      3  
    Experiment07       09:52      3  
    Experiment01       30:32      2  
    Experiment13       20:05      3  
    Experiment09       19:51      0  
    Experiment08       10:07      0  
    Experiment14       20:35      2  
    Experiment13       13:20      1  
    Experiment08       10:04      1  
    Experiment16       21:09      1  
    Experiment14       06:07      2  
    Experiment10       17:07      4  
    Experiment18       10:09      4  
    Experiment03       12:26      0  
    Experiment00       18:42      1  
    Experiment12       25:22      0  
    Experiment16       17:25      0  
    Experiment14       14:14      0  
    Experiment19       07:39      4  
    Experiment19       24:56      2  
    Experiment13       27:36      3  
    Experiment11       23:18      2  
    Experiment16       17:24      0  
    Experiment04       18:45      1  
    Experiment01       16:51      4  
    Experiment13       04:01      0  
    Experiment07       24:48      0  
    Experiment13       18:54      3  
    Experiment14       08:48      4  
    Experiment00       07:09      1  
    Experiment20       01:58      1  
    Experiment06       03:37      0  
    Experiment09       28:11      3  
    Experiment10       29:19      0  
    Experiment13       07:37      4  
    Experiment20       19:16      2  
    Experiment10       13:57      1  
    Experiment00       05:37      3  
    Experiment00       28:28      4  
    Experiment15       30:13      1  
    Experiment07       20:12      1  
    Experiment20       13:21      3  
    Experiment11       06:21      1  
    Experiment18       06:59      1  
    Experiment15       16:10      1  
    Experiment10       26:53      2  
    Experiment13       15:04      3  
    Experiment03       02:02      1  
    Experiment10       08:16      3  
    Experiment05       25:07      3  
    Experiment13       12:26      3  
    Experiment20       23:19      0  
    Experiment07       10:23      0  
    Experiment03       12:22      2  
    Experiment14       12:44      3  
    Experiment10       20:55      4  
    Experiment08       00:42      2  
    Experiment05       18:43      1  
    Experiment11       18:43      1  
    Experiment02       21:18      2  
    Experiment02       21:26      4  
    Experiment10       07:12      2  
    Experiment06       10:07      3  
    Experiment01       11:27      1  
    Experiment20       11:44      2  
    Experiment00       10:51      3  
    Experiment09       13:19      4  
    Experiment05       03:58      2  
    Experiment10       17:51      0  
    Experiment00       28:47      4  
    Experiment07       28:26      3  
    Experiment14       24:28      1  
    Experiment16       27:20      1  
    Experiment03       00:42      0  
    Experiment12       09:37      0  
    Experiment15       10:48      1  
    Experiment08       22:06      4  
    Experiment16       28:34      1  
    Experiment13       07:11      2  
    Experiment06       12:15      1  
    Experiment16       17:20      0  
    Experiment11       00:06      1  
    Experiment04       29:35      0  
    Experiment19       21:16      4  
    Experiment19       21:01      0  
    Experiment13       09:23      0  
    Experiment19       30:03      0  
    Experiment13       07:15      2  
    Experiment03       29:03      3  
    Experiment04       23:04      4  
    Experiment02       10:09      1  
    Experiment19       00:32      4  
    Experiment17       15:33      3  
    Experiment19       18:20      1  
    Experiment12       21:01      4  
    Experiment20       11:01      1  
    Experiment10       06:35      3  
    Experiment08       28:40      4  
    Experiment11       14:03      4  
    Experiment19       14:26      1  
    Experiment05       18:37      1  
    Experiment12       12:49      3  
    Experiment06       13:32      2  
    Experiment20       21:54      3  
    Experiment18       29:17      2  
    Experiment16       05:53      2  
    Experiment13       07:40      1  
    Experiment07       19:21      1  
    Experiment09       05:35      3  
    Experiment08       15:49      0  
    Experiment18       04:14      2  
    Experiment14       06:20      0  
    Experiment08       01:47      1  
    Experiment18       28:45      4  
    Experiment17       15:39      0  
    Experiment10       24:07      4  
    Experiment03       03:34      4  
    Experiment20       20:22      2  
    Experiment07       25:49      1  
    Experiment19       03:23      2  
    Experiment11       24:29      2  
    Experiment06       10:10      0  
    Experiment17       24:57      4  
    Experiment20       16:38      4  
    Experiment19       26:28      0  
    Experiment17       28:32      1  
    Experiment16       11:11      4  
    Experiment00       10:51      3  
    Experiment12       14:32      2  
    Experiment11       04:27      2  
    Experiment01       22:58      4  
    Experiment19       23:40      3  
    Experiment18       12:33      4  
    Experiment03       25:43      3  
    Experiment18       29:23      2  
    Experiment06       22:55      3  
    Experiment04       13:46      2  
    Experiment09       16:54      3  
    Experiment07       08:42      0  
    Experiment19       07:08      3  
    Experiment09       05:03      1  
    Experiment12       01:51      3  
    Experiment11       26:41      1  
    Experiment09       01:19      3  
    Experiment11       03:57      4  
    Experiment02       17:32      4  
    Experiment14       21:58      1  
    Experiment08       12:38      0  
    Experiment06       23:28      0  
    Experiment16       27:25      2  
    Experiment04       24:02      0  
    Experiment20       19:51      2  
    Experiment15       14:02      1  
    Experiment11       20:04      1  
    Experiment00       10:26      4  
    Experiment03       23:25      4  
    Experiment14       08:58      3  
    Experiment11       22:02      1  
    Experiment18       07:52      2  
    Experiment18       20:53      4  
    Experiment09       04:18      0  
    Experiment05       14:04      0  
    Experiment15       13:07      0  
    Experiment00       27:01      2  
    Experiment09       17:50      1  
    Experiment11       27:52      3  
    Experiment19       19:57      2  
    Experiment04       21:27      4  
    Experiment03       26:57      2  
    Experiment13       12:47      0  
    Experiment00       00:51      0  
    Experiment05       11:05      2  
    Experiment03       15:20      1  
    Experiment04       14:30      4  
    Experiment02       18:45      0  
    Experiment06       10:02      3  
    Experiment10       12:07      0  
    Experiment10       03:09      4  
    Experiment15       21:07      0  
    Experiment00       01:18      3  
    Experiment11       08:27      1  
    Experiment01       19:11      4  
    Experiment03       15:23      2  
    Experiment00       07:32      4  
    Experiment13       02:52      0  
    Experiment12       18:39      2  
    Experiment08       20:36      1  
    Experiment07       24:30      4  
    Experiment08       19:19      0  
    Experiment10       05:29      3  
    Experiment04       12:10      2  
    Experiment11       20:18      2  
    Experiment13       13:23      3  
    Experiment12       04:30      2  
    Experiment14       07:01      0  
    Experiment16       15:06      1  
    Experiment09       11:18      1  
    Experiment03       05:26      4  
    Experiment05       12:31      3  
    Experiment02       10:40      0  
    Experiment12       18:01      4  
    Experiment09       00:29      4  
    Experiment11       00:17      3  
    Experiment19       05:44      3  
    Experiment12       27:07      0  
    Experiment06       25:55      3  
    Experiment17       01:09      1  
    Experiment09       10:17      3  
    Experiment04       19:23      2  
    Experiment00       25:14      3  
    Experiment11       20:06      2  
    Experiment08       27:46      1  
    Experiment04       12:18      1  
    Experiment14       18:34      2  
    Experiment05       10:56      1  
    Experiment09       23:11      2  
    Experiment19       02:01      3  
    Experiment09       05:27      4  
    Experiment17       14:21      4  
    Experiment05       08:41      2  
    Experiment05       03:28      0  
    Experiment03       22:48      3  
    Experiment19       11:10      2  
    Experiment04       30:14      0  
    Experiment08       20:08      3  
    Experiment10       21:26      0  
    Experiment15       24:03      4  
    Experiment11       00:08      4  
    Experiment03       02:39      1  
    Experiment07       10:37      2  
    Experiment17       30:49      0  
    Experiment04       12:33      3  
    Experiment15       17:33      2  
    Experiment05       18:19      0  
    Experiment17       30:57      0  
    Experiment04       14:17      4  
    Experiment02       16:56      2  
    Experiment01       22:03      1  
    Experiment01       18:34      3  
    Experiment16       16:24      2  
    Experiment06       01:58      1  
    Experiment02       01:25      1  
    Experiment00       16:28      1  
    Experiment19       03:27      4  
    Experiment19       00:11      2  
    Experiment06       06:26      0  
    Experiment10       24:32      1  
    Experiment18       24:09      3  
    Experiment04       28:16      4  
    Experiment09       24:25      2  
    Experiment12       22:02      0  
    Experiment16       21:56      3  
    Experiment15       04:44      2  
    Experiment20       08:41      1  
    Experiment16       29:02      2  
    Experiment11       13:43      1  
    Experiment04       06:57      2  
    Experiment06       01:13      1  
    Experiment11       10:07      3  
    Experiment03       03:58      2  
    Experiment07       18:34      2  
    Experiment05       07:31      3  
    Experiment01       15:52      3  
    Experiment18       28:44      1  
    Experiment12       06:32      0  
    Experiment13       13:31      0  
    Experiment10       26:01      2  
    Experiment04       01:52      4  
    Experiment15       23:49      4  
    Experiment16       30:02      4  
    Experiment20       13:03      3  
    Experiment14       30:03      1  
    Experiment05       08:39      3  
    Experiment06       29:34      1  
    Experiment06       04:32      4  
    Experiment07       28:11      4  
    Experiment18       15:08      2  
    Experiment08       29:16      3  
    Experiment01       22:07      2  
    Experiment18       26:11      3  
    Experiment20       23:37      3  
    Experiment18       30:04      4  
    Experiment20       20:30      1  
    Experiment12       15:28      2  
    Experiment16       29:21      1  
    Experiment14       29:22      2  
    Experiment19       01:08      1  
    Experiment15       10:55      4  
    Experiment10       06:59      3  
    Experiment02       27:46      4  
    Experiment17       00:50      0  
    Experiment06       26:47      4  
    Experiment15       29:21      3  
    Experiment16       08:23      1  
    Experiment18       01:22      3  
    Experiment19       23:26      2  
    Experiment16       03:55      4  
    Experiment20       13:15      3  
    Experiment19       06:07      0  
    Experiment00       02:07      4  
    Experiment10       08:16      3  
    Experiment16       19:35      4  
    Experiment18       10:20      4  
    Experiment02       01:38      2  
    Experiment18       28:42      4  
    Experiment02       20:06      4  
    Experiment04       07:38      4  
    Experiment06       24:02      0  
    Experiment17       21:40      2  
    Experiment20       03:01      2  
    Experiment12       04:31      4  
    Experiment20       27:56      2  
    Experiment00       22:23      3  
    Experiment01       26:13      1  
    Experiment01       13:46      3  
    Experiment02       16:02      0  
    Experiment15       08:26      2  
    Experiment19       03:53      4  
    Experiment01       22:29      0  
    Experiment08       00:47      3  
    Experiment06       19:17      1  
    Experiment09       27:22      0  
    Experiment12       06:16      0  
    Experiment11       03:46      3  
    Experiment11       15:31      2  
    Experiment02       21:14      4  
    Experiment16       03:48      3  
    Experiment12       17:56      4  
    Experiment17       16:31      4  
    Experiment10       03:34      1  
    Experiment04       14:22      4  
    Experiment16       07:32      4  
    Experiment17       27:45      3  
    Experiment07       28:27      0  
    Experiment00       05:58      3  
    Experiment07       01:18      0  
    Experiment07       17:05      0  
    Experiment13       21:36      1  
    Experiment09       17:36      3  
    Experiment20       08:17      4  
    Experiment19       23:39      4  
    Experiment01       25:35      3  
    Experiment04       13:29      4  
    Experiment10       24:49      0  
    Experiment17       03:44      4  
    Experiment11       30:35      1  
    Experiment19       04:27      1  
    Experiment19       08:01      0  
    Experiment10       25:40      1  
    Experiment05       16:57      0  
    Experiment13       30:19      4  
    Experiment11       17:30      1  
    Experiment00       08:01      4  
    Experiment00       24:33      1  
    Experiment06       19:42      0  
    Experiment14       18:30      3  
    Experiment02       26:20      4  
    Experiment12       16:13      1  
    Experiment02       00:37      4  
    Experiment13       23:09      1  
    Experiment12       22:17      1  
    Experiment20       22:27      4  
    Experiment04       17:51      4  
    Experiment01       19:19      1  
    Experiment10       24:43      2  
    Experiment19       21:01      0  
    Experiment17       02:08      0  
    Experiment05       09:59      1  
    Experiment07       06:58      0  
    Experiment11       07:44      4  
    Experiment18       07:16      1  
    Experiment04       03:42      1  
    Experiment12       05:05      3  
    Experiment03       11:19      2  
    Experiment14       12:41      2  
    Experiment18       18:22      0  
    Experiment07       20:33      0  
    Experiment04       04:56      4  
    Experiment03       11:34      3  
    Experiment19       30:01      4  
    Experiment17       08:18      4  
    Experiment16       15:10      4  
    Experiment14       27:33      2  
    Experiment13       20:08      0  
    Experiment02       00:39      2  
    Experiment18       10:06      1  
    Experiment10       11:04      0  
    Experiment11       26:27      0  
    Experiment07       26:32      3  
    Experiment15       20:50      0  
    Experiment01       06:45      1  
    Experiment12       30:07      2  
    Experiment10       09:58      1  
    Experiment18       18:27      2  
    Experiment10       16:03      4  
    Experiment03       00:35      3  
    Experiment14       11:09      0  
    Experiment05       30:02      1  
    Experiment05       07:57      0  
    Experiment09       13:34      4  
    Experiment08       03:14      2  
    Experiment07       21:23      1  
    Experiment17       04:27      3  
    Experiment17       20:20      0  
    Experiment01       09:51      3  
    Experiment11       18:44      4  
    Experiment01       25:32      0  
    Experiment07       01:50      3  
    Experiment18       03:04      3  
    Experiment12       01:19      4  
    Experiment01       01:57      3  
    Experiment05       03:31      1  
    Experiment03       15:31      4  
    Experiment15       24:40      1  
    Experiment20       22:33      4  
    Experiment04       07:10      2  
    Experiment19       04:14      2  
    Experiment09       23:07      3  
    Experiment11       05:04      4  
    Experiment16       28:52      2  
    Experiment13       07:34      4  
    Experiment09       13:25      1  
    Experiment09       14:49      4  
    Experiment08       23:52      2  
    Experiment20       16:53      2  
    Experiment06       06:50      3  
    Experiment06       02:49      1  
    Experiment12       19:29      4  
    Experiment06       22:05      3  
    Experiment01       21:34      0  
    Experiment05       23:35      1  
    Experiment13       22:34      1  
    Experiment12       29:07      2  
    Experiment04       03:40      1  
    Experiment10       00:37      2  
    Experiment08       01:39      3  
    Experiment15       14:17      3  
    Experiment09       03:08      4  
    Experiment08       05:38      4  
    Experiment19       16:31      1  
    Experiment15       01:47      2  
    Experiment20       28:42      3  
    Experiment19       23:46      0  
    Experiment06       18:43      2  
    Experiment17       26:37      1  
    Experiment01       25:28      2  
    Experiment05       06:24      1  
    Experiment19       28:49      4  
    Experiment00       19:58      2  
    Experiment12       27:28      0  
    Experiment05       14:15      4  
    Experiment17       22:47      2  
    Experiment18       07:54      2  
    Experiment20       14:27      4  
    Experiment14       03:19      4  
    Experiment05       08:12      3  
    Experiment14       14:30      4  
    Experiment08       21:22      2  
    Experiment19       28:03      0  
    Experiment00       02:21      4  
    Experiment20       12:07      1  
    Experiment03       21:37      2  
    Experiment10       22:06      2  
    Experiment17       01:12      4  
    Experiment04       30:34      0  
    Experiment03       21:54      4  
    Experiment09       23:28      0  
    Experiment15       08:17      4  
    Experiment08       06:38      0  
    Experiment14       12:28      3  
    Experiment07       06:48      1  
    Experiment11       09:01      1  
    Experiment03       28:48      4  
    Experiment19       26:18      2  
    Experiment09       11:58      0  
    Experiment08       01:57      3  
    Experiment18       22:37      2  
    Experiment08       10:46      3  
    Experiment07       08:57      3  
    Experiment17       23:36      3  
    Experiment01       00:50      2  
    Experiment14       24:19      3  
    Experiment15       30:44      0  
    Experiment02       06:05      0  
    Experiment14       29:04      1  
    Experiment17       05:11      3  
    Experiment19       26:13      2  
    Experiment17       17:18      1  
    Experiment18       08:17      4  
    Experiment03       05:18      0  
    Experiment07       22:48      1  
    Experiment09       00:41      3  
    Experiment19       12:42      0  
    Experiment07       28:17      3  
    Experiment14       29:13      0  
    Experiment00       19:45      1  
    Experiment14       26:44      3  
    Experiment00       21:07      1  
    Experiment20       17:55      4  
    Experiment06       02:31      4  
    Experiment02       09:41      0  
    Experiment03       13:53      4  
    Experiment07       02:44      4  
    Experiment10       26:11      3  
    Experiment04       25:02      4  
    Experiment15       17:28      3  
    Experiment11       24:22      0  
    Experiment15       06:09      3  
    Experiment05       20:22      4  
    Experiment11       03:32      0  
    Experiment05       08:20      0  
    Experiment10       04:55      1  
    Experiment14       14:26      2  
    Experiment11       01:49      1  
    Experiment18       24:07      3  
    Experiment14       29:08      1  
    Experiment04       05:08      3  
    Experiment20       24:33      4  
    Experiment10       24:35      2  
    Experiment17       02:08      3  
    Experiment02       10:56      4  
    Experiment00       08:16      0  
    Experiment07       05:25      0  
    Experiment13       27:08      0  
    Experiment07       14:31      0  
    Experiment13       25:16      4  
    Experiment19       17:18      1  
    Experiment16       12:23      4  
    Experiment00       13:48      3  
    Experiment12       08:06      2  
    Experiment02       23:15      2  
    Experiment11       08:42      0  
    Experiment07       15:57      4  
    Experiment09       09:56      2  
    Experiment01       11:03      0  
    Experiment12       13:41      0  
    Experiment00       10:38      4  
    Experiment04       14:54      1  
    Experiment16       02:58      2  
    Experiment19       09:51      0  
    Experiment20       28:18      0  
    Experiment15       22:39      4  
    Experiment07       18:47      3  
    Experiment06       09:06      2  
    Experiment02       18:43      1  
    Experiment06       01:41      3  
    Experiment06       08:04      2  
    Experiment10       03:20      4  
    Experiment11       27:33      1  
    Experiment07       02:31      4  
    Experiment05       06:09      1  
    Experiment15       16:09      4  
    Experiment19       02:32      0  
    Experiment19       10:04      0  
    Experiment09       22:16      3  
    Experiment01       05:03      1  
    Experiment20       27:47      0  
    Experiment14       01:46      4  
    Experiment00       11:46      2  
    Experiment03       01:01      1  
    Experiment13       10:35      1  
    Experiment03       06:53      3  
    Experiment16       21:53      1  
    Experiment04       23:48      2  
    Experiment14       21:09      1  
    Experiment19       14:49      2  
    Experiment10       05:02      3  
    Experiment09       00:19      1  
    Experiment07       18:25      1  
    Experiment14       12:32      1  
    Experiment15       23:25      4  
    Experiment15       27:16      4  
    Experiment01       26:40      0  
    Experiment16       06:03      0  
    Experiment18       13:59      1  
    Experiment13       19:42      3  
    Experiment06       22:16      3  
    Experiment18       12:10      0  
    Experiment11       02:15      0  
    Experiment04       02:55      4  
    Experiment05       14:05      4  
    Experiment06       16:07      3  
    Experiment14       23:54      3  
    Experiment16       12:46      4  
    Experiment08       25:18      0  
    Experiment15       21:52      0  
    Experiment15       29:57      1  
    Experiment13       28:02      2  
    Experiment07       25:56      3  
    Experiment16       27:21      0  
    Experiment07       17:29      2  
    Experiment17       25:14      4  
    Experiment09       22:44      1  
    Experiment17       03:27      4  
    Experiment06       01:11      4  
    Experiment01       13:57      0  
    Experiment17       20:47      4  
    Experiment09       13:04      0  
    Experiment03       03:13      2  
    Experiment15       09:43      0  
    Experiment00       25:17      4  
    Experiment09       24:52      1  
    Experiment18       30:31      3  
    Experiment15       19:30      4  
    Experiment00       09:28      4  
    Experiment05       10:55      0  
    Experiment12       24:27      0  
    Experiment18       30:38      0  
    Experiment18       19:14      3  
    Experiment10       13:33      2  
    Experiment20       18:19      0  
    Experiment17       27:32      2  
    Experiment16       25:31      4  
    Experiment04       12:30      4  
    Experiment05       22:24      4  
    Experiment07       08:49      3  
    Experiment09       23:42      1  
    Experiment12       30:15      2  
    Experiment17       27:10      0  
    Experiment11       26:42      3  
    Experiment08       28:23      1  
    Experiment11       11:10      0  
    Experiment10       15:46      0  
    Experiment04       00:31      4  
    Experiment00       12:48      4  
    Experiment15       22:08      2  
    Experiment19       28:05      3  
    Experiment13       03:35      2  
    Experiment20       25:19      0  
    Experiment17       25:06      2  
    Experiment07       25:05      1  
    Experiment17       04:15      0  
    Experiment01       20:30      1  
    Experiment00       25:36      4  
    Experiment05       00:57      3  
    Experiment19       28:49      0  
    Experiment14       04:31      4  
    Experiment08       14:20      4  
    Experiment04       12:47      1  
    Experiment19       20:16      4  
    Experiment08       04:10      4  
    Experiment14       30:45      1  
    Experiment00       23:54      1  
    Experiment03       17:01      4  
    Experiment12       12:35      0  
    Experiment08       24:53      4  
    Experiment16       28:59      1  
    Experiment20       12:25      2  
    Experiment10       06:35      2  
    Experiment16       24:25      1  
    Experiment15       00:08      0  
    Experiment17       09:21      2  
    Experiment11       03:51      0  
    Experiment00       14:50      3  
    Experiment02       08:56      3  
    Experiment07       24:21      3  
    Experiment18       21:35      4  
    Experiment06       09:33      1  
    Experiment02       01:52      1  
    Experiment20       17:50      4  
    Experiment20       17:22      1  
    Experiment07       06:29      1  
    Experiment14       07:27      4  
    Experiment04       21:25      0  
    Experiment08       23:32      3  
    Experiment09       22:11      2  
    Experiment17       21:18      2  
    Experiment17       05:12      4  
    Experiment15       03:30      4  
    Experiment03       21:04      3  
    Experiment15       14:29      4  
    Experiment11       07:26      4  
    Experiment12       14:30      1  
    Experiment00       20:04      0  
    Experiment09       14:33      1  
    Experiment12       02:34      4  
    Experiment13       01:02      4  
    Experiment10       07:48      1  
    Experiment05       27:44      4  
    Experiment15       13:27      3  
    Experiment06       26:48      4  
